단어,카테고리,등급,뜻풀이
지하실,일상,2,건물을 지을 때 땅을 파서 만든 방.
직거래,경제,3,물건을 팔 사람과 살 사람이 중개인을 거치지 않고 직접 거래함.
직렬,과학,3,전기 회로에서 전기나 전지 등을 일렬로 연결하는 것.
직매장,경제,3,중간 상인을 거치지 않고 생산자가 소비자에게 직접 물건을 파는 곳.
직수입,경제,3,다른 나라의 상품을 중간 단계를 거치지 않고 직접 들여오는 것.
직영,경제,3,가게나 사업을 다른 사람에게 맡기지 않고 직접 관리하고 운영함.
직영점,경제,3,본사에서 직접 운영하고 관리하는 가게나 상점.
직원,일상,1,일정한 직장에 소속되어 일하는 사람.
직장,일상,1,돈을 받고 일하는 곳.
직판,경제,3,중간 상인을 거치지 않고 생산자가 소비자에게 제품을 직접 팖.
직판장,경제,3,중간 상인을 거치지 않고 생산자가 소비자에게 제품을 직접 파는 장소.
진공,과학,3,공기가 거의 없는 상태.
진공관,과학,3,내부를 진공 상태로 만들어 전자를 제어하는 장치
진달래,일상,2,"이른 봄에 분홍색 꽃이 잎보다 먼저 피는, 산에서 자라는 나무."
진수성찬,고사성어,3,맛있는 음식이 가득 차려진 훌륭한 식탁
진자,과학,3,줄 끝에 추를 매달아 옆으로 흔들리며 움직이게 만든 물체.
진짜,일상,1,다른 것을 본뜨거나 거짓으로 만들어 낸 것이 아닌 것.
진통제,일상,2,아픈 것을 가라앉히거나 느끼지 못하게 하는 약.
진퇴양난,고사성어,3,나아갈 수도 없고 물러설 수도 없는 어려운 상황
진행자,일상,2,행사나 방송 등의 사회를 보면서 일을 이끌어 나가는 사람.
질량보존법칙,과학,4,반응 전후의 물질의 총 질량은 변하지 않는다는 법칙
질문,일상,1,모르는 것이나 알고 싶은 것을 물음.
질소,과학,3,"상온에서 기체 상태로 존재하며 공기의 약 78%를 이루는, 색깔이나 냄새, 맛이 없는 원소."
질투,일상,2,부부나 서로 사랑하는 사이에서 상대방이 다른 사람을 좋아할 경우에 지나치게 미워하고 싫어함.
집들이,일상,1,이사한 후에 친한 사람들을 불러 집을 구경시키고 음식을 대접하는 일.
집중력,일상,2,마음이나 생각을 집중할 수 있는 힘.
짜증,일상,1,마음에 들지 않아서 화를 내거나 싫은 느낌을 겉으로 드러내는 일. 또는 그런 성미.
찌개,일상,1,"국물을 적게 하여 고기나 두부, 채소 등을 넣고 고추장이나 된장 등을 넣고 양념과 간을 맞추어 약간 짜게 끓인 반찬."
찜통더위,일상,2,뜨거운 김을 쐬는 것같이  매우 무더운 여름철의 기운.
차례,일상,1,어떤 일을 하거나 어떤 일이 일어나는 순서.
차림표,일상,2,음식점 등에서 파는 음식의 종류와 가격을 적은 표.
차명,경제,3,남의 이름을 빌려 씀. 또는 빌려 쓴 이름.
차용증,경제,3,돈이나 물건을 빌린 것을 증명하는 문서.
차익,경제,3,"물건을 사고판 결과나 가격, 시세의 변동으로 생기는 이익."
차일피일,고사성어,3,일을 자꾸 미루며 하루 이틀 시간을 끈다.
차입,경제,3,돈이나 물건을 외부에서 빌림.
차입금,경제,3,외부에서 빌린 돈.
착수,경제,3,새로운 일을 시작함.
착수금,경제,3,전체 금액 중 일을 시작할 때 먼저 내는 일부의 돈.
찬성,일상,1,다른 사람의 의견이나 생각 등이 좋다고 인정해 뜻을 같이함.
찬조금,경제,3,어떤 일에 뜻을 같이하여 도와주기 위해 내는 돈.
참가비,경제,2,"모임이나 단체, 경기, 행사 등에서 활동하기 위해 내는 비용."
참외,일상,1,색이 노랗고 단맛이 나며 주로 여름에 먹는 열매.
창립,경제,3,기관이나 단체 등을 새로 만들어 세움.
창문,일상,1,공기나 햇빛이 들어올 수 있도록 벽이나 지붕에 만들어 놓은 문.
창업,경제,3,나라나 왕조 등을 처음으로 세움.
창업주,경제,3,회사 등을 만들어 처음으로 사업을 시작한 사람.
창출,경제,3,전에 없던 것을 새로 만들어 냄.
채굴,경제,3,땅속에 묻혀 있는 광물 등을 캐냄.
채권,경제,3,"국가, 지방 자치 단체, 은행, 회사 등이 사업에 필요한 자금을 빌리기 위해 발행하는 유가 증권."
채권단,경제,3,특정인에게 어떠한 행동을 하도록 요구할 수 있는 사람들의 무리.
채권자,경제,3,어떤 사람에게 빚을 받아 낼 권리를 가진 사람.
채무,경제,3,어떤 사람이 다른 사람에게 어떤 행위를 해야 할 의무.
채무자,경제,3,어떤 사람에게 빚을 갚아야 할 의무를 가진 사람.
채소,일상,1,"밭에서 기르며 주로 그 잎이나 줄기, 열매를 먹는 농작물."
채식주의,일상,2,"고기를 먹지 않고 주로 채소, 과일, 해초 등의 식물성 음식만을 먹는 식생활이 좋다고 생각하는 태도."
책상,일상,1,책을 읽거나 글을 쓰거나 사무를 볼 때 앞에 놓고 쓰는 상.
책임감,일상,2,맡아서 해야 할 일이나 의무를 중요하게 여기는 마음.
챔피언,일상,2,운동 경기에서 우승하여 우승자의 지위나 자격을 가지고 있는 사람.
처분,경제,3,물건이나 재산 등을 처리하여 치움.
처음,일상,1,차례나 시간상으로 맨 앞.
척추동물,과학,3,등뼈가 있는 동물을 통칭
천고마비,고사성어,4,가을 하늘이 높고 말이 살찌는 풍요로운 계절
천군만마,고사성어,3,든든한 아군이 아주 많아 힘이 솟는 느낌
천둥,일상,2,번개가 친 다음에 하늘이 시끄럽게 울림. 또는 그 소리.
천만다행,고사성어,3,너무나 다행스러워 운이 정말 좋다.
천문대,과학,2,천체를 관측할 수 있는 장치를 갖춘 시설이나 기관.
천방지축,고사성어,3,어디로 튈지 모르는 덤벙대고 어수선한 행동
천생연분,고사성어,3,하늘이 정해준 아주 깊은 인연
천신만고,고사성어,3,온갖 고생과 어려움을 다 겪으며 살아남았다.
천우신조,고사성어,4,하늘이 돕고 신이 도와 위기를 넘긴다.
천인공노,고사성어,4,하늘과 땅이 함께 분노할 만큼 괘씸한 죄
천장지구,고사성어,4,하늘과 땅처럼 아주 영원히 변치 않는다.
천재일우,고사성어,4,천 년에 한 번 올까 말까 한 아주 좋은 기회
천지개벽,고사성어,3,세상이 처음 생겨날 때처럼 아주 엄청난 변화
천진난만,고사성어,3,꾸밈없이 아주 순수하고 아이 같은 마음
천차만별,고사성어,3,모두 차이가 나고 구별되어 각각 다르다
천편일률,고사성어,3,모든 것이 다 똑같아 개성이 전혀 없다.
천하태평,고사성어,4,세상이 아무 걱정 없이 아주 평화롭다.
철두철미,고사성어,3,처음부터 끝까지 아주 완벽하여 빈틈이 없다.
철천지원,고사성어,3,하늘을 찌를 만큼 원망스러운 아주 깊은 원수
첨가물,일상,2,식품 등을 만들 때 보태어 넣는 것.
첨단,과학,3,"시대나 학문, 유행 등의 가장 앞서는 자리."
첩첩산중,고사성어,3,산 너머 또 산이 있듯 어려움이 계속 겹친다.
첫날,일상,1,어떤 일이 처음으로 시작되는 날.
청구,경제,3,다른 사람에게 돈이나 물건 등을 달라고 요구함.
청년,일상,1,육체적으로나 정신적으로 다 자란 젊은 사람.
청렴결백,고사성어,3,성품이 깨끗하여 돈을 탐내지 않고 정직하다.
청산,경제,3,기업이나 거래를 정리하는 것
청산가리,과학,2,독성이 매우 강하고 물에 잘 녹는 무색의 화학 물질.
청소,일상,1,더럽고 지저분한 것을 깨끗하게 치움.
청약,경제,3,일정한 내용의 계약을 이루는 것을 목적으로 하는 일방적이고 확정적인 의사 표시.
청천벽력,고사성어,3,맑은 하늘에 날벼락이 치듯 아주 뜻밖의 사건
청첩장,일상,2,결혼식 등에 남을 초청하는 글을 적은 카드.
청출어람,고사성어,4,제자가 스승보다 더 뛰어나게 성장했다.
청풍명월,고사성어,4,맑은 바람과 밝은 달로 풍류를 즐긴다.
체납,경제,3,세금 등을 정해진 기간까지 내지 못해 밀림.
체력,일상,2,육체적 활동을 할 수 있는 몸의 힘이나 기운.
체면,일상,2,남을 대하기에 떳떳한 입장이나 얼굴.
체불,경제,3,마땅히 내주어야 할 것을 내주지 못하고 미룸.
체온,일상,2,몸의 온도.
체육관,일상,1,실내에서 운동을 할 수 있게 만든 건물.
체인점,경제,2,동일한 회사의 제품을 파는 가게를 여러 곳에 두고 중앙에서 경영하는 조직.
체조,일상,2,건강을 유지하기 위해 일정한 형식에 맞게 몸을 움직임. 또는 그런 운동.
첼로,일상,2,"바이올린보다 낮은 소리를 내고 더 크기가 크며, 의자에 앉아 무릎 사이에 끼고 네 개의 줄을 활로 문질러 연주하는 악기."
초가삼간,고사성어,3,아주 작고 소박한 시골집
초과액,경제,3,일정한 수량이나 정도 등을 넘은 금액.
초근목피,고사성어,4,풀뿌리와 나무껍질로 연명하는 가난한 생활
초대,일상,1,"다른 사람에게 어떤 자리, 모임, 행사 등에 와 달라고 요청함."
초등학교,일상,1,아동들에게 기본적인 교육을 실시하기 위한 학교. 만 여섯 살에 입학하여 육 년 동안 기본 교육을 받는다.
초록색,일상,1,"노란색과 파란색의 중간색으로, 짙은 풀과 같은 색."
초보자,일상,2,어떤 일이나 기술을 처음으로 시작하거나 배우는 사람.
초시계,과학,2,초 이하의 시간까지 정확하게 재는 데 쓰는 시계.
초신성,과학,3,별이 일생의 마지막에 폭발하며 큰 빛을 내는 현상
초음파,과학,3,인간이 들을 수 있는 주파수 이상의 높은 음파
초전도체,과학,3,특정 온도 이하에서 전기 저항이 0이 되는 물질
초지일관,고사성어,3,처음에 먹은 마음을 끝까지 밀고 나간다.
초콜릿,일상,1,"코코아 가루에 우유, 설탕 등을 섞어 만든, 주로 검은색의 달콤한 음식."
촉매,과학,3,반응 속도를 변화시키지만 자신은 변하지 않는 물질
촌철살인,고사성어,4,한 마디의 말로 상대방을 꼼짝 못 하게 찌른다.
총결산,경제,3,일을 마무리함. 또는 그런 결과.
총리,일상,2,"대통령을 보좌하고 국가적인 사무를 총괄하는, 장관들의 우두머리가 되는 공무원."
총소득,경제,3,어떤 일에 들어간 돈을 포함하여 그 일을 한 결과로 얻은 모든 이익.
총수요,경제,3,"가계, 기업, 정부 등 모든 경제 주체들의 수요를 모두 합한 것."
총수익,경제,3,거두어들인 이익의 전체 액수.
총수입,경제,3,어떤 일에 들어간 돈을 포함하여 그 일을 한 결과로 얻은 모든 이익.
총액,경제,3,모두 합한 전체 액수.
촬영,일상,2,"사람, 사물, 풍경 등을 사진이나 영화로 찍음."
최고가격제,경제,3,물건 값을 일정 수준 이하로 제한하는 제도
최근,일상,1,얼마 되지 않은 지나간 날부터 현재까지의 기간.
최저임금,경제,2,국가가 정한 최소한의 임금
추석날,일상,1,"한국의 명절의 하나. 음력 8월 15일로 햅쌀로 빚은 송편과 햇과일 등의 음식을 장만하여 차례를 지낸다. 또한 씨름, 줄다리기, 강강술래 등의 민속놀이를 즐긴다."
추심,경제,3,빚을 갚으라고 독촉하는 절차
추처낭중,고사성어,4,주머니 속의 송곳처럼 뛰어난 재능
추천,일상,2,어떤 조건에 알맞은 사람이나 물건을 책임지고 소개함.
추출,과학,3,전체를 이루는 것 가운데 어떤 요소나 대상을 뽑아냄.
추풍낙엽,고사성어,3,가을바람에 떨어지는 잎처럼 기세가 꺾인다.
축구,일상,1,11명이 한 팀이 되어 주로 발로 공을 차서 상대편의 골에 공을 많이 넣으면 이기는 운동 경기.
축의금,경제,2,축하하기 위해 내는 돈.
축하,일상,1,남의 좋은 일에 대해 기쁜 마음으로 인사함. 또는 그런 인사.
출구,일상,1,밖으로 나갈 수 있는 문이나 통로.
출근,일상,1,일하러 직장에 나가거나 나옴.
출근길,일상,2,직장으로 일하러 나가거나 나오는 길. 또는 그런 도중.
출납,경제,3,돈이나 물건을 내주거나 받아들임.
출납부,경제,3,돈이나 물건을 내주거나 받아들인 것을 적는 장부.
출발,일상,1,어떤 곳을 향하여 길을 떠남.
출석,일상,1,수업이나 모임 등에 나아가 참석함.
출입,일상,1,사람이 어떤 곳을 드나듦.
출입국,일상,1,나라 밖으로 나가거나 나라 안으로 들어오는 일.
출자,경제,3,사업 등에 필요한 돈을 내는 일.
출장,일상,1,임시로 다른 곳에 일하러 감.
출판,일상,2,"글, 그림, 악보 등을 책으로 만들어 세상에 내놓음."
충동구매,경제,2,물건 등을 살 필요나 계획이 없었는데 물건 등을 구경하거나 광고를 보다가 갑자기 사고 싶어져서 사는 행위.
충동적,일상,2,어떤 행동을 하고 싶은 마음이 갑작스럽게 일어나는 것.
충전,과학,3,건전지 등에 전기를 채워 넣는 일.
충전기,과학,2,전기 에너지를 모아 두는 장치에 전기를 채워 넣는 데 쓰는 기구.
취득세,경제,3,"부동산, 자동차, 선박 등의 재산을 얻는 것에 대하여 내는 세금."
취미,일상,1,좋아하여 재미로 즐겨서 하는 일.
취소,일상,1,이미 발표한 것을 거두어들이거나 약속한 것 또는 예정된 일을 없앰.
취업률,경제,3,취직한 사람의 비율.
취직,일상,1,일정한 직업을 얻어 직장에 나감.
측정기,과학,3,양의 크기를 재는 데 쓰는 기계나 기구.
치과,일상,1,"이와 더불어 잇몸 등의 지지 조직, 구강 등의 질병을 치료하는 의학 분야. 또는 그 분야의 병원."
치료,일상,1,병이나 상처 등을 낫게 함.
치마,일상,1,여자가 입는 아래 겉옷으로 다리가 들어가도록 된 부분이 없는 옷.
치약,일상,1,이를 닦는 데 쓰는 약.
치어리더,일상,2,"운동 경기 등에서, 노래에 맞춰 춤을 추며 특정 팀을 응원하고 관중의 응원을 이끄는 사람."
치킨게임,경제,3,양쪽 모두 파국을 맞을 때까지 벌이는 경쟁
친구,일상,1,사이가 가까워 서로 친하게 지내는 사람.
친절,일상,1,사람을 대하는 태도가 상냥하고 부드러움. 또는 그런 태도.
친척,일상,1,부모나 배우자와 혈연관계가 있는 사람.
칠판,일상,1,분필로 글씨를 쓰는 짙은 초록색이나 검정색의 판.
침대,일상,1,사람이 누워서 잘 수 있게 만든 가구.
침몰,일상,2,배 등이 물속에 가라앉음.
침소봉대,고사성어,4,작은 것을 크게 부풀려 말하는 과장하다.
침실,일상,1,집에서 주로 잠을 자는 방.
칭찬,일상,1,좋은 점이나 잘한 일 등을 매우 훌륭하게 여기는 마음을 말로 나타냄. 또는 그런 말.
카네이션,일상,2,"붉은색이나 흰색의 꽃잎이 주름 모양으로 겹겹이 피며, 특히 어버이날 부모님의 가슴에 다는 꽃."
카드,경제,1,어떤 내용을 증명하거나 기록하기 위해 일정한 크기와 형식으로 자른 두꺼운 종이 또는 플라스틱.
카디건,일상,1,"앞자락이 트여 단추로 채우게 되어 있는, 털로 짠 스웨터."
카메라,일상,1,사진을 찍는 기계.
카센터,일상,2,고장 난 자동차를 고치거나 자동차가 제대로 작동하도록 보살피고 손질하는 곳.
카오스,과학,4,우주가 발생하기 이전의 어지럽고 질서가 없는 상태.
카페,일상,1,"주로 커피와 차, 가벼운 간식거리 등을 파는 가게."
카페라테,일상,1,에스프레소에 우유를 섞은 커피.
카푸치노,일상,1,거품을 낸 뜨거운 우유에 에스프레소를 섞어 마시는 커피.
칵테일,일상,2,독한 양주에 과즙이나 설탕 등을 넣고 얼음과 함께 섞은 술.
칼로리,과학,2,에너지의 양을 나타내는 열량 단위
캐릭터,일상,2,"소설, 만화, 연극, 영화 등에 등장하는 인물. 또는 작품 내용 속에서 드러나는 인물의 개성과 이미지."
캐시백,경제,3,물건을 구입하거나 서비스를 이용한 고객에게 일정 금액을 적립해 주는 제도. 또는 그렇게 적립된 돈.
캔디,일상,1,엿이나 설탕을 졸여서 입에 넣기 좋은 크기로 만든 딱딱하고 단 과자.
캠페인,일상,2,"주로 사회적, 정치적 목적을 위해 대중을 상대로 조직적으로 펼치는 운동."
캥거루,일상,1,"호주 및 그 주변의 여러 섬에서 살며, 암컷은 새끼를 낳아 배에 달린 주머니에 넣어서 기르는 동물."
커닝,일상,2,"시험을 볼 때, 미리 준비해 온 답이나 남의 답안지를 몰래 보고 답을 쓰는 일."
커미션,경제,3,어떤 일을 맡아 처리해 주거나 중간에서 일이 잘되도록 힘써 준 대가로 받는 돈.
커버,일상,2,물건을 덮거나 싸는 물건.
커튼,일상,2,창이나 문을 가릴 수 있도록 그 위에 매달아 길게 늘어뜨린 천.
컴퓨터,일상,1,"전자 회로를 이용하여 문서, 사진, 영상 등의 대량의 데이터를 빠르고 정확하게 처리하는 기계."
케이블,과학,2,실이나 철사 등을 꼬아서 만든 굵은 선.
케이블카,일상,2,높고 가파른 산에 설치하여 사람이나 짐을 나르는 차량.
케이스,일상,2,물건을 넣는 작은 상자나 덮개.
케이크,일상,1,"밀가루에 달걀, 버터, 우유, 설탕 등을 넣어 반죽하여 오븐에 구운 뒤 생크림이나 과일 등으로 장식한 빵."
케첩,일상,2,"토마토를 주요 재료로 하여 식초, 설탕 등을 넣고 끓여 만든 서양식 양념."
케플러,과학,4,행성 운동의 3대 법칙을 발견한 천문학자
켈빈,과학,4,절대 온도를 측정하는 단위
코끼리,일상,1,"매우 긴 코와 두 개의 큰 어금니가 있는, 육지에 사는 동물 가운데 가장 큰 동물."
코미디언,일상,1,희극을 전문적으로 연기하는 배우.
코스닥,경제,3,유망한 중소기업이나 벤처 기업을 중심으로 한 증권 시장.
코스피,경제,3,증권 시장에 상장된 기업의 주가 변동을 기준 시점과 비교 시점을 비교하여 작성한 수치.
코일,과학,4,전선을 나선형으로 감은 부품
코코아,일상,1,카카오나무 열매의 씨를 빻아 만든 갈색 가루.
콘도,일상,2,"객실에 취사 도구를 비롯한 기본적인 살림살이를 갖추고 있으며, 객실 단위로 분양하여 운영하는 형태의 호텔."
콘서트,일상,1,악기를 연주하거나 노래를 하여 청중에게 들려주는 모임.
콘센트,일상,2,"전기가 흐르는 선과 코드를 이어주며, 플러그를 끼워 전기를 통하게 하는 기구."
콜라,일상,1,맛이 달고 독특한 향이 나는 검은색의 탄산음료.
쾌도난마,고사성어,4,얽힌 문제를 칼로 끊어내듯 시원하게 해결한다.
쿠션,일상,1,앉을 자리에 솜이나 용수철 등을 넣어 편하게 앉도록 만든 것.
쿠키,일상,1,밀가루 반죽에 여러 가지 재료를 넣고 구운 서양식 과자.
퀀트펀드,경제,4,데이터를 분석하여 투자하는 펀드
크기,일상,1,"사물의 부피, 넓이, 양 등이 큰 정도."
크레용,일상,2,물감과 기름을 섞어 만든 막대 모양의 서양 그림 도구.
크레파스,일상,2,크레용과 파스텔의 특징을 따서 만든 막대 모양의 색칠 도구.
크림,일상,2,"버터, 아이스크림 등의 원료나 조리에 사용하는, 우유에서 얻는 하얀 기름."
클럽,일상,1,취미 활동을 함께 하거나 서로 친해지기 위한 목적으로 조직한 단체.
키오스크,경제,3,무인 주문 단말기
키위,일상,1,"달걀 모양에 갈색 털이 덮여 있으며, 속 한가운데 부분은 옅은 노란색이고 그 둘레는 옅은 녹색이며 깨알 같은 씨가 박혀 있는 과일."
키친타월,일상,2,주방에서 사용하는 도톰한 휴지.
키코,경제,4,환율 변동에 따른 손실 위험 파생상품
킬로,과학,3,1000배를 의미하는 단위 접두어
타산지석,고사성어,3," 다른 사람의 하찮은 언행이나 실수, 실패마저도 자신의 지식과 인격을 수양하는 데 도움이 될 수 있음"
타워,일상,1,탑처럼 뾰족하고 높게 만든 건축물.
타이,일상,1,주로 양복을 입을 때 와이셔츠 목의 둘레에 매는 가늘고 긴 천.
타이어,일상,2,자동차나 자전거 바퀴의 바깥 둘레에 끼우는 고무로 만든 테.
타임머신,과학,2,과거나 미래로 시간 여행을 할 수 있게 해 준다는 상상 속의 기계.
탁구,일상,1,"네모난 테이블 가운데에 네트를 세우고, 공을 라켓으로 쳐서 넘기고 받는 실내 운동 경기."
탁상공론,고사성어,3,현실성 없는 책상 위의 빈말에 불과한 논의
탄산,과학,3,이산화 탄소가 물에 녹아서 생기는 약한 산.
탄성,과학,2,모양이 변했다가 원래대로 돌아오려는 성질
탄소,과학,3,숯이나 석탄의 주된 구성 원소.
탄수화물,과학,2,에너지를 내는 주요 영양소 중 하나
탈출,일상,2,어떤 상황이나 구속 등에서 빠져나옴.
탐관오리,고사성어,3,욕심이 많아 백성의 재물을 뺏는 나쁜 관리
탐사선,과학,3,우주 공간에서 지구나 다른 행성들을 조사하는 일을 하는 비행 물체.
탕감,경제,3,"빚이나 요금, 세금 등의 물어야 할 것을 덜어 줌."
태권도,일상,1,"한국 전통 무술에 바탕을 둔, 손과 발 등을 사용해 차기, 지르기, 막기 등의 기술로 공격과 방어를 하는 운동 경기."
태도,일상,1,몸을 움직이거나 어떤 일을 대하는 마음이 드러난 자세.
태평성대,고사성어,4,나라가 아주 평화롭고 백성이 잘사는 세상
태풍,일상,1,"주로 7~9월에 태평양에서 한국, 일본 등 아시아 대륙 동부로 불어오는, 거센 폭풍우를 동반한 바람."
택배,일상,1,"우편물이나 짐, 상품 등을 원하는 장소까지 직접 배달해 주는 일."
택시,일상,1,돈을 받고 손님이 원하는 곳까지 태워 주는 일을 하는 승용차.
터미널,일상,1,"비행기나 기차, 버스 등의 여러 노선이 모여 있는, 주로 첫 번째나 마지막 역."
턱시도,일상,2,남자가 입는 서양식 예복.
테니스,일상,1,그물을 사이에 두고 라켓으로 공을 주고받는 운동 경기.
테라스,일상,2,실내에서 직접 밖으로 나갈 수 있도록 방의 앞면에 튀어나온 곳.
테스트,일상,2,"사람의 지능이나 능력, 제품의 성능 등의 알아보기 위하여 시험하거나 검사함. 또는 그런 시험이나 검사."
테이블,일상,1,떠받치는 다리가 있고 위가 평평해서 물건을 올려놓을 수 있는 책상 모양의 가구.
테이프,일상,2,종이나 헝겊 등으로 만든 얇고 긴 띠.
테크닉,과학,3,어떤 일을 훌륭하게 해내는 기술이나 능력.
텔레뱅킹,경제,3,전화를 걸어서 입출금 등 은행 업무를 보는 일. 또는 그런 서비스.
텔레비전,일상,1,방송국에서 전파로 보내오는 영상과 소리를 받아서 보여 주는 기계.
토끼,일상,1,귀가 길고 뒷다리가 앞다리보다 발달하였으며 꼬리는 짧은 동물.
토론,일상,2,어떤 문제에 대하여 여러 사람이 옳고 그름을 따지며 논의함.
토마토,일상,1,둥근 모양에 크기는 주먹만 하며 초록색이었다가 붉은색으로 익는 열매.
토사구팽,고사성어,4,사냥이 끝나면 사냥개를 삶아 먹는다는 버림받음
토스터,일상,2,전기를 이용해 식빵을 굽는 기구.
통상,경제,3,나라와 나라 사이에 서로 물건을 사고팖. 또는 그런 관계.
통상임금,경제,3,근로자에게 정기적으로 주는 임금
통신비,경제,3,전화나 인터넷 등을 사용하는 데 드는 돈.
통역,일상,2,서로 다른 나라 말을 사용하는 사람들 사이에서 뜻이 통하도록 말을 옮겨 줌.
통일,일상,2,나누어지거나 갈라진 것들을 합쳐서 하나가 되게 함.
통장,경제,1,"금융 기관에서, 예금한 사람에게 예금의 입금과 출금 내역을 적어 주는 장부."
통증,일상,2,아픈 증세.
통판,경제,3,‘통신 판매’를 줄여 이르는 말.
통행,일상,2,어떤 곳을 지나다님.
통화,경제,3,한 사회에서 사용하는 화폐.
통화,일상,1,전화로 말을 주고받음.
통화량,경제,3,시장에 돌아다니는 돈의 양
통화료,경제,2,전화를 사용하고 내는 돈.
퇴근,일상,1,직장에서 일을 끝내고 집으로 돌아가거나 돌아옴.
퇴원,일상,1,일정 기간 병원에 머물며 치료를 받던 환자가 병원에서 나옴.
퇴직금,경제,3,직장을 그만두는 사람에게 일하던 곳에서 주는 돈.
퇴직연금,경제,3,퇴직 후를 위해 적립하는 연금
투기,경제,3,가격 변화로 생기는 이익을 얻기 위해 돈을 투자하거나 물건을 사고파는 일.
투기꾼,경제,3,가격 변화로 생기는 이익을 얻기 위해 돈을 투자하거나 물건을 사고파는 일을 직업으로 하는 사람.
투매,경제,3,손해를 무릅쓰고 주식이나 채권을 싼값에 팔아 버리는 일.
투사기,과학,3,영상을 확대하여 스크린에 비추어 주는 기계.
투입,경제,3,던져 넣음.
투자,경제,2,이익을 얻기 위해 어떤 일이나 사업에 돈을 대거나 시간이나 정성을 쏟음.
투자가,경제,3,이익을 얻기 위해 어떤 일이나 사업에 돈을 대거나 시간이나 정성을 쏟는 사람.
투자금,경제,3,이익을 얻기 위해 어떤 일이나 사업에 댄 자금.
투자액,경제,3,이익을 얻기 위해 어떤 일이나 사업에 대려고 하거나 댄 금액.
투자자,경제,3,이익을 얻기 위해 어떤 일이나 사업에 돈을 대거나 시간이나 정성을 쏟는 사람.
투표,일상,2,선거를 하거나 어떤 일을 결정할 때 정해진 용지에 의견을 표시하여 내는 일.
튀김,일상,1,"생선이나 고기, 야채 등을 밀가루에 묻혀서 기름에 튀긴 음식."
트랜스,과학,3,전압을 높이거나 낮추는 장치.
트랜지스터,과학,4,전류를 증폭하거나 스위치 역할을 하는 반도체 소자
트럭,일상,1,물건을 실어 나르는 자동차.
트레이너,일상,2,운동하는 사람을 훈련하고 지도하는 것이 직업인 사람.
틈새시장,경제,3,비슷한 상품이 많지만 수요자가 원하는 바로 그 상품이 없어서 공급이 틈새처럼 비어 있는 시장.
티켓,일상,1,"입장권, 승차권 등의 표."
파격적,경제,3,일정한 격식을 깨뜨리는 것.
파동,과학,2,물결의 움직임.
파란만장,고사성어,3,물결이 일듯 굽이치며 많은 고난을 겪음
파란색,일상,1,맑은 하늘이나 바다와 같은 색.
파렴치안,고사성어,3,부끄러움을 모르는 아주 뻔뻔한 사람
파산,경제,2,빚을 갚을 수 없어 재산 정리 절차를 밟는 것
파산자,경제,3,파산 선고를 받고 재산에 대하여 파산 절차가 진행되고 있는 사람.
파생상품,경제,3,기초 자산에서 파생된 금융 상품
파안대소,고사성어,4,얼굴이 펴질 정도로 크게 웃음을 터뜨린다.
파인애플,일상,1,열대와 아열대에서 자라며 솔방울과 비슷한 모양의 속이 노랗고 단맛이 나는 열매.
파일럿,일상,2,항공기를 조종할 수 있는 실력과 자격을 갖춘 사람.
파죽지세,고사성어,3,대나무를 쪼개듯 아주 강한 기세로 나아간다.
파티,일상,1,친목을 도모하거나 무엇을 기념하기 위한 잔치나 모임.
판공비,경제,3,공무를 처리하는 데 드는 비용. 또는 그런 명목으로 주는 돈.
판권,경제,3,"저작권법에 의해 저작권을 가진 사람과 계약하여 도서, 영상 매체 등의 출판이나 제작에 관한 이익을 독점하는 권리."
판다,일상,1,"몸집이 크고, 주로 머리와 몸통의 털은 흰색이며 눈 주변과 귀, 다리 등의 털은 검은색인 곰."
판독기,과학,3,기계적으로나 전기적으로 기록된 기호나 인쇄된 글자 등을 식별하여 컴퓨터에 이용할 수 있는 신호로 바꾸는 장치.
판매량,경제,3,일정한 기간 동안 상품이 팔린 양.
판매망,경제,3,상품을 팔기 위한 조직이나 체계.
판매업자,경제,3,상품을 파는 일을 직업으로 하는 사람.
판촉,경제,3,여러 가지 방법을 써서 소비자의 구매욕을 자극하여 판매가 늘도록 유도하는 일.
팔방미인,고사성어,3,모든 방면에 재주가 많아 뭐든 다 잘한다.
팔찌,일상,1,"팔목에 끼는, 금, 은, 가죽 등으로 만든 장식품."
팝송,일상,1,서양의 대중가요.
팝콘,일상,1,간을 하여 튀긴 옥수수.
패가망신,고사성어,3,재산을 탕진하고 가문까지 망하게 되는 일
패키지,일상,1,포장하여 우편으로 보내는 물품.
퍼레이드,일상,2,축제나 축하 등으로 많은 사람이 거리를 화려하게 줄지어 가는 일. 또는 그런 사람들의 줄.
펀드,경제,3,투자 전문 기관이 투자자로부터 받은 돈.
페스티벌,일상,2,축하하여 벌이는 큰 규모의 행사.
페트병,일상,2,음료수를 담는 가볍고 깨지지 않는 일회용병.
편도,일상,1,가고 오는 길 가운데 어느 한쪽. 또는 그 길.
편리,일상,1,이용하기 쉽고 편함.
편모슬하,고사성어,4,홀어머니 밑에서 자라나며 보살핌을 받음
편의점,경제,1,"오랜 시간 동안 또는 하루 종일 문을 열고 간단한 생활필수품, 식료품, 즉석식품 등을 파는 가게."
편지,일상,1,다른 사람에게 하고 싶은 말을 적어서 보내는 글.
평소,일상,1,특별한 일이 없는 보통 때.
폐업,경제,3,영업을 그만둠.
